ID.format,ID.completed,ID.case,ID.interviewer,ID.date,ID.start,ID.endDate,ID.end,ID.time,ID.name,Q1,Q2,Q3a,Q3b,Q3c,Q4,Q5:1,Q5:2,Q5:3,Q5:4,Q5:5,Q6,Q7,Q8,Q9,Q10:1,Q10:2,Q10:3,Q11,Q12,Q13,Q14,Q15,Q16:1,Q16:2,Q16:3,Q16:4,Q17,Q18a,Q19,Q20a,Q20b,Q20c,Q20d,Q21a,Q21b,Q21c,Q21d,Q22,Q23,Q24,Q25,Q26,Q27a,Q28a,Q29,Q30,Q31,NewNetEasy,Q32,Q33:1,Q33:2,Q33:3,Q33:4,Q33:5,Q34a,Q35,OverallSat,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47:1,Q47:2,Q47:3,Q47:4,Q47:5,Q47:6,Q47:7,Q47:8,Q48
Web: Snap WebHost,completed,ce1723d7-7208-4241-bbad-e8f88e7f56e6,,12/10/2021,15:44:48,12/10/2021,15:47:10,2.37,ARJE8905HH538,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,as using it through trac I don't log onto NHS Jobs,,,Neither easy nor difficult,,,,,,None of the above,,,6,,,,,,Recruitment Team Manager,,Weekly,1 month,2,A combination of NHS Jobs and another system,,Trac,,,,,,,
Web: Snap WebHost,completed,a36edeae-ddf5-43ff-8774-9ed34cdf905d,,12/10/2021,15:46:31,12/10/2021,15:52:56,6.42,ARJE5929MK544,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I feel that it is a very difficult website to use and it is un-necessarily complex and not user friendly.,add functionality to review applicants cv's etc without needing to close the application process. Make it more intuitive to go through the steps e.g. see applicants application and cv,Extremely difficult,see above,,,,,None of the above,,,2,very difficult software to navigate around. Many of the steps when adding advert are repetitive. Difficult to review applicants unless close the advert.,GP practice,,Midlands,,HR Manager or equivalent,,Less frequently than quarterly,4 to 6 months,3,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),
Web: Snap WebHost,completed,5a662eaf-0243-4f49-95e0-76069131c45d,,12/10/2021,17:11:10,12/10/2021,17:14:55,3.75,ARJE4049HF853,Yes,No,Fair,Fair,Fair,..,Completion of the on-boarding form,,"Technical issues (e.g. internet service, firewalls, web browser compatibility)",,,,Yes,,No,,,,,,,,,,,,,,,,,,,,Good,Good,Good,Good,Yes,Yes,,....,....,7,Fairly easy,,,,Fairly easy,,Frequently asked questions (FAQs),User guides,,NHS Jobs training website,,Useful,....,7,,GP practice,,East of England,,HR Manager or equivalent,,Quarterly,12 months or more,5,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),LMC website
Web: mobile,completed,c633d603-517f-4783-bcca-f665a73870e1,,12/10/2021,21:00:08,12/10/2021,21:13:14,13.1,ARJE2876ZE645,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Access to nhs staff,Emais,When placing an add very Access’s bility,Fairly easy,,,,,,None of the above,,,7,,GP practice,,London,,Other job role (please type in the box below),Gp practice manager,Monthly,7 to 11 months,1,NHS Jobs solely,,,,,,,,,
Web: Snap WebHost,completed,b06db692-9c1b-41b7-9a4e-8569b41c79e0,,13/10/2021,08:07:06,13/10/2021,08:10:56,3.83,ARJE9050LR418,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,Fairly easy,,Frequently asked questions (FAQs),,,,,Useful,,6,,NHS Trust/Health Board,,North West,,Recruitment Officer,,Weekly,12 months or more,,A combination of NHS Jobs and another system,,Trac,,,,,,,
Web: Snap WebHost,completed,830c338f-06a2-4ccc-a0a1-c06fbb37c929,,13/10/2021,08:15:47,13/10/2021,08:20:56,5.15,ARJE1977PU898,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,There isnt any,None,Make it easier to use - its so difficult to use,Extremely difficult,Found it difficult to look for candidates.  Eventually found what I was looking for I then inadvertently clicked on invite for interview and you cannot reverse the process - just appalling,Frequently asked questions (FAQs),,,,,Not at all useful,,Completely dissatisfied 1,So un-user friendly -,GP practice,,East of England,,Reviewer/Shortlister,,Less frequently than quarterly,12 months or more,3,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),INDEED
Web: Snap WebHost,completed,e9356283-7879-4f81-8802-47c0ed4bc425,,13/10/2021,09:53:05,13/10/2021,09:57:22,4.28,ARJE2046KM965,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not having to transfer applications from NHS to Trac,"When editing an advert not having to tab through all the pages when just trying to edit one field, the back option just sends you back to the home page which is very frustrating",larger file size enabled uploads,Neither easy nor difficult,,,,,,None of the above,,,5,The old NHS Jobs could just have been tweaked to give the exact same results and would not have required training to get used to. Probably a lot of wasted money and time.,NHS Trust/Health Board,,North West,,Recruitment Officer,,Weekly,1 month,1,A combination of NHS Jobs and another system,,Trac,,,,,,,
Web: Snap WebHost,completed,4b52f17e-48d0-4c8b-be6b-62e365b473ea,,13/10/2021,09:56:41,13/10/2021,09:59:19,2.63,ARJE8174BP854,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,easy to use,just simple to use,nothing,Extremely easy,,,,,,None of the above,,,Completely satisfied 10,,GP practice,,Midlands,,Hiring/Recruiting Manager,,Less frequently than quarterly,1 month,1,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),gov website
Web: Snap WebHost,completed,e53fa181-8e9d-4460-a96a-da1bab7ee508,,13/10/2021,12:31:08,13/10/2021,12:37:38,6.5,ARJE1167UR585,Yes,No,Very poor,Very poor,Very poor,"This new website is obstructive, it has wasted hours of my time having to call in to ask where things are, it blocks me from a lot.  When I call in, the reps can't tell me because you've made it so they can't see our account. This wastes even more time.",Completion of the on-boarding form,Communications from NHS Jobs,"Technical issues (e.g. internet service, firewalls, web browser compatibility)",Other (Please type in the box below),,See previous note,No,See previous note,Yes,Email,Telephone,,,Five times or more,No,None of them are resolved.,Yes,,,,,,Extremely difficult,"This is an obstructive website that takes precious time away from us at a time we need efficiency as so much more is asked of us through the COVID pandemic. Very Poor. Those I speak with on the phones are polite and helpful but they've been limited by the structure you've set up and cannot help. I don't think the problem is with the individuals you have manning the phones, it's the structure you've created.",Completely satisfied 10,Completely dissatisfied 1,Completely dissatisfied 1,3,Very poor,Very poor,Very poor,Very poor,"No, there were too many communications","No, I had to contact the support team for further information/advice",Please see all of my previous notes,x,x,Completely dissatisfied1,Extremely difficult,The website should be more intuitive.  We should be able to go back and forth in it and see what we need to see including applicant details BEFORE we score.,none,Everything,Extremely difficult,See all of my notes,,,,,None of the above,,,Completely dissatisfied 1,See all of my previous notes,GP practice,,North West,,HR Manager or equivalent,,Fortnightly,12 months or more,10,NHS Jobs solely,,,,,,,,,
Web: Snap WebHost,completed,e7197a92-8228-48be-ba27-3d890ccb1b57,,13/10/2021,13:35:30,13/10/2021,13:56:15,20.75,ARJA4658MC229,Yes,No,Good,Good,Good,,,,,,None,,Yes,,Yes,Email,,,,Once,"Yes, fully",,Yes,,,,,,Very easy,,Completely satisfied 10,,Completely satisfied 10,Completely satisfied 10,Good,Good,Good,Good,Yes,Yes,,,,9,Very easy,adverts,it's really difficult to get an advert Live compared to the old version so I can't think of anything that is working well. And I am under the impression that NHS Jobs has moved to blind recruitment which makes the process even more difficult,"It is quite difficult and time consuming the way the advert is split. I would prefer to have the option to have all advert in one box. Then the characters for the advert are not enough, so I don't have enough space for the advert. As long as I attach as Job Description and Person Specification, I would prefer to be optional to add write again about Job Description. Again it's time consuming and I expect candidates to read the attachment.   I am not getting any candidates at the moment for jobs that I used to get candidates on the old NHS Jobs.",Extremely difficult,To put up an advert it's taking between 30-60 minutes and this is a lot for a company how has lots of vacancies.,,User guides,,,,Useful,,3,,Local Authority,,Midlands,,NHS Jobs Super User,,Weekly,2 to 3 months,5,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),Wm jobs
Web: Snap WebHost,completed,6e7d4ec8-4726-4fb2-8a0e-e8a4ff01b590,,13/10/2021,14:52:04,13/10/2021,15:04:07,12.05,ARJA6557WC744,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"We don't use NHS Jobs for all of our vacancies as they are not all clinical. So when we do use NHS Jobs, it's easier for us to download shortlisting, for the recruiting manager(s) to score offline and then for us to finalise on NHS Jobs and send out the invites... the new NHS Jobs makes it difficult to do this. Another example is when a candidate has not confirmed their attendance, we like to give them a call or send a direct email but we can't see their contact numbers or email addresses liked we used to be able to.   Also we don't see the benefit of having to input the job description and person specification as we upload them as attachments anyway; it seems a waste of time and should at least be optional.  We also preferred the previous advert set up where we only had one box that we had to complete rather than 3!",Fairly difficult,"We preferred the old NHS Jobs, it was more straightforward.",,User guides,,,,Useful,It was clear and concise.,3,"We were extremely satisfied with the old NHS Jobs service. The new service forces us to input things like the job description and person spec (when we upload attachments anyway), we can't access applicant contact details, have to amend our adverts to fit into 3 different sections. It's making the whole process a lot longer than it used to.",Hospice,,South West,,NHS Jobs Super User,,Weekly,2 to 3 months,10,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),Networx
Web: Snap WebHost,completed,2b990704-d97e-4234-80c0-bc726aa95bcd,,14/10/2021,09:39:38,14/10/2021,09:50:53,11.25,ARJE4850KX502,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,Interview set up.,"The ability to allow applicants to upload a CV WITH their online application. Ability to download applications BEFORE setting up the interview. An option to send conditional offer offline, as doing it via NHS Jobs does not allow for all of the pre-employment checks our organisation conducts. Requesting reference information at the application stage and NOT at the conditional offer stage.",Very difficult,"There are so many features that worked really well with the old NHS Jobs site, and the migration to the new site has been difficult, clunky and a significant loss in information.",Frequently asked questions (FAQs),User guides,,NHS Jobs training website,,Not very useful,This does not cover the little bugs that can be found in the system.,3,There are a number of features from the old site which would be incredible beneficial to this site.,GP practice,,South West,,Hiring/Recruiting Manager,,At least once per day,4 to 6 months,6,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),Website and Indeed
Web: Snap WebHost,completed,6d0174d4-9cd9-4b0d-aecb-c7d40cd2de95,,14/10/2021,12:42:55,14/10/2021,12:56:08,13.22,ARJE2431UJ219,Yes,No,Fair,Fair,Poor,We weren't sent the form until literally the day before we were going live - so felt rushed and very last minute,Completion of the on-boarding form,,,,,,Yes,,Yes,Email,,,,Once,"Yes, fully",,Yes,,,,,,Fairly easy,,Completely satisfied 10,,9,9,Good,Good,Good,Good,"No, there were not enough communications","No, I felt some information was missing",The set up form delay - not been covered at any point and then boom panic!,,,8,Neither easy nor difficult,We use TRAC and so like the fact that you dont have to import applications any more.,Easy to use and navigate around,"That you cannot edit all fields - big issue having mgrs who change things and then have to close everything down and re-open to edit   That can add more than 4 attachments or if have to keep to 4,  then have larger documents,  Now the header and footer has gone one doc has become that.  Have JD and PS and privacy notice - no room for anything else  - wanted to do a leaflet on flex working",Fairly difficult,The edit issue and lack of attachments,,User guides,Videos,,,Useful,,6,Flaws identified earlier,NHS Trust/Health Board,,North West,,Recruitment Team Manager,,Weekly,1 month,160,A combination of NHS Jobs and another system,,Trac,,,,,,,
Web: Snap WebHost,completed,a1a59597-6f04-4806-8736-b33b55c5db20,,14/10/2021,13:03:07,14/10/2021,13:08:12,5.08,ARJE3436VV542,Yes,No,Good,Good,Good,,Completion of the on-boarding form,,,,,,Yes,,No,,,,,,,,,,,,,,,,,,,,Good,Good,Good,Good,Yes,Yes,,better layout for putting in information for e.g. cutting & pasting.,,6,Fairly easy,Being able to view number of applicants to the job,,,Fairly easy,,,,,,None of the above,,,7,,GP practice,,Midlands,,HR Manager or equivalent,,Less frequently than quarterly,1 month,1,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),Indeed
Web: Snap WebHost,completed,cb1ad940-c5b2-41a8-9bb0-3b6c324cafaf,,15/10/2021,16:17:30,15/10/2021,16:24:39,7.15,ARJE6268BN607,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,Unable to see actual recruit details?,Very difficult,"was only told by PM how difficult it was to access and get information, especially since the new changes",,,,,None of the above,,,5,unknown,GP practice,,Other (please type in the box below),South  Yorkshire,Other job role (please type in the box below),Reception Manager,Less frequently than quarterly,12 months or more,10,Not sure,,,,,,,,,
Web: Snap WebHost,completed,d0afd5fe-7056-4f34-a729-7af7b04a2f4e,,16/10/2021,16:23:32,16/10/2021,16:29:03,5.52,ARJE1809ZX549,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The uploading of the vacancy is clear but it is long-winded.,,1. The current advert layout of having to type out the JD and Person Specification is not needed. It creates more work and makes adverts look very long and wordy. Attaching the JD and Person Spec is more appropriate. We were also able before to copy and paste our advert into one box. Now it just seems that there are too many boxes.   2. Unable to edit the advert once it has gone live. This can be frustrating as at times you can publish the advert but then need to make a small change or notice an error etc.   3. Messaging - It would be useful to be able to message an applicant va the service in the way we could before.,Fairly difficult,Time consuming,Frequently asked questions (FAQs),,,,,Useful,,5,"Although the new system looks slicker and modern, it is not as user friendly for the employer as the old service.",GP practice,,North West,,NHS Jobs Super User,,Less frequently than quarterly,12 months or more,5,Not sure,,,,,,,,,
Web: Snap WebHost,completed,47983fe3-1d4c-4723-a913-87616fcc3b93,,18/10/2021,13:55:09,18/10/2021,14:04:59,9.83,ARJE1085KR649,Yes,No,Good,Good,Good,,,,,,None,,Yes,,Yes,Email,,,,Once,"Yes, fully",,Yes,,,,,,Very easy,,Completely satisfied 10,,Completely satisfied 10,Completely satisfied 10,Excellent,Excellent,Excellent,Excellent,Yes,Yes,,,,Completely satisfied10,Fairly easy,The applications coming directly into Trac.,Applications,"Increased fields all required including main duties, due to long job descriptions",Very easy,,Frequently asked questions (FAQs),User guides,,,,Very useful,,8,Larger fields with increased word counts would be more benifical due to us cutting short the adverts,NHS Trust/Health Board,,North East and Yorkshire,,Recruitment Team Manager,,At least once per day,1 month,140,A combination of NHS Jobs and another system,,Trac,,,,,,,
Web: Snap WebHost,completed,052e654f-e25c-49c1-99e4-b6658660335c,,18/10/2021,15:02:19,18/10/2021,15:07:02,4.72,ARJE5209CD498,Yes,No,Fair,Fair,Very poor,,Completion of the on-boarding form,,,,,,No,preferred the old site. the new one you cant see where the applicant lives? and you cant copy and paste,No,,,,,,,,,,,,,,,,,,,,Poor,Fair,Fair,Very poor,"No, there were not enough communications","No, I felt some information was missing",need more information on the applicants.,,,4,Fairly difficult,none,none,go back to the old system,Fairly difficult,,,,,,,,,4,,,,London,,HR Manager or equivalent,,Monthly,1 month,10,NHS Jobs solely,,,,,,,,,
Web: Snap WebHost,completed,a1376371-78f4-419d-809b-2b0be507ad9f,,14/10/2021,15:36:24,18/10/2021,15:20:31,5744.12,ARJE8741TE588,Yes,No,Good,Good,Good,,,,,Other (Please type in the box below),,Supported by HR,,,No,,,,,,,,,,,,,,,,,,,,Good,Good,Good,Good,Yes,Yes,,None identified,None,9,Very easy,Good format,All,None identified,Very easy,,,,,NHS Jobs training website,,Very useful,Good,8,Overall too long survey for professionals who have very limited time,Other organisation type (please type in the box below),Social Enterprise,London,,Reviewer/Shortlister,,Less frequently than quarterly,12 months or more,4,NHS Jobs solely,,,,,,,,,
Web: Snap WebHost,completed,e623c116-00d2-4cfd-b0c1-4c45fd9d5ba1,,18/10/2021,15:19:23,18/10/2021,15:33:12,13.82,ARJE6412GD204,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Having used the old NHS Jobs many times to recruit new staff I used the new NHS Jobs Service for the first time and found it very un-user friendly,Unfortunately I would not use this service again,more user friendly. I am aware that due to GDPR the website has had to adapt but due to not having the applicants address this was very unhelpful and actually caused us to go through the process and be unable to recruit due to on shortlisting and finding out that some of the applicants live miles away and actually asked us if we could find something closer!,Extremely difficult,"as above, not suitable for attracting the right candidates for the job role due to important details not being available until applicant already shortlisted. A very important aspect for a receptionist is the local locality and not having this information beforehand was completely useless and once the applicant knew how far the position was they were not interested.",Frequently asked questions (FAQs),User guides,,,,Useful,,Completely dissatisfied 1,as previously discussed,Other NHS organisation,,Midlands,,Hiring/Recruiting Manager,,Less frequently than quarterly,2 to 3 months,1,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),
Web: Snap WebHost,completed,e2ef85cc-da01-42c1-9773-375030b3ebeb,,18/10/2021,16:29:38,18/10/2021,16:31:50,2.2,ARJE2329QA438,Yes,No,Good,Fair,Fair,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Fair,Fair,Fair,Fair,"No, there were not enough communications",Yes,,,,6,Neither easy nor difficult,,,,Neither easy nor difficult,,,,,,None of the above,,,6,,NHS Trust/Health Board,,North West,,Hiring/Recruiting Manager,,Monthly,2 to 3 months,4,NHS Jobs solely,,,,,,,,,
